TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,IMPORTE_TASA_TURISTICA#es,IMPORTE_TASA_TURISTICA_CODE,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION
Canarias,ES70,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,Reino Unido,GB,Turistas,TURISTAS,122992,,,
Canarias,ES70,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,Total,_T,Turistas,TURISTAS,269569,,,
Canarias,ES70,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,24776,,,
Canarias,ES70,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,Otro,_O,Turistas,TURISTAS,84815,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Alemania,DE,Turistas,TURISTAS,45512,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Reino Unido,GB,Turistas,TURISTAS,45589,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Total,_T,Turistas,TURISTAS,190391,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,23904,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Otro,_O,Turistas,TURISTAS,75385,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Alemania,DE,Turistas,TURISTAS,24727,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Reino Unido,GB,Turistas,TURISTAS,55227,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Total,_T,Turistas,TURISTAS,167765,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,37869,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Otro,_O,Turistas,TURISTAS,49942,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Total,_T,Alemania,DE,Turistas,TURISTAS,144532,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Total,_T,Reino Unido,GB,Turistas,TURISTAS,221681,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Total,_T,Total,_T,Turistas,TURISTAS,802434,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Total,_T,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,124741,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Total,_T,Otro,_O,Turistas,TURISTAS,311481,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 1€,EUR_LE1,Alemania,DE,Turistas,TURISTAS,35769,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 1€,EUR_LE1,Reino Unido,GB,Turistas,TURISTAS,62487,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 1€,EUR_LE1,Total,_T,Turistas,TURISTAS,267782,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 1€,EUR_LE1,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,41389,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 1€,EUR_LE1,Otro,_O,Turistas,TURISTAS,128137,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 3€,EUR_LE3,Alemania,DE,Turistas,TURISTAS,31499,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 3€,EUR_LE3,Reino Unido,GB,Turistas,TURISTAS,31771,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 3€,EUR_LE3,Total,_T,Turistas,TURISTAS,108845,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 3€,EUR_LE3,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,13137,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Hasta 3€,EUR_LE3,Otro,_O,Turistas,TURISTAS,32439,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No sabe/No contesta,_N,Alemania,DE,Turistas,TURISTAS,229,,,Dato estimado con menos de 20 observaciones muestrales
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No sabe/No contesta,_N,Reino Unido,GB,Turistas,TURISTAS,2771,,,Dato estimado con menos de 20 observaciones muestrales
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No sabe/No contesta,_N,Total,_T,Turistas,TURISTAS,8959,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No sabe/No contesta,_N,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,663,,,Dato estimado con menos de 20 observaciones muestrales
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,No sabe/No contesta,_N,Otro,_O,Turistas,TURISTAS,5296,,,Dato estimado con menos de 20 observaciones muestrales
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,Alemania,DE,Turistas,TURISTAS,6796,,,Dato estimado con menos de 20 observaciones muestrales
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,Reino Unido,GB,Turistas,TURISTAS,23836,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,Total,_T,Turistas,TURISTAS,58692,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,7778,,,
Gran Canaria,ES705,2024 Segundo trimestre,2024-Q2,Más de 3€,EUR_GT3,Otro,_O,Turistas,TURISTAS,20282,,,
